timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734422707419,229,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-20,,true,,3662,655,30,100,null,0,5036,0
1734422712455,229,02_02_Click On Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-20,text,true,,3662,655,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,229,0,0
1734422705573,958,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-49,,true,,4990,603,61,100,null,0,6222,719
1734422711795,958,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-49,text,true,,4990,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,957,0,719
1734422710501,228,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-15,,true,,3442,949,61,100,null,0,2045,0
1734422712546,228,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-15,text,true,,3442,949,61,100,https://petstore.octoperf.com/actions/Catalog.action,228,0,0
1734422710512,219,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-53,,true,,4081,948,61,100,null,0,2063,0
1734422712575,219,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-53,text,true,,4081,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,219,0,0
1734422710575,238,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-34,,true,,3441,948,61,100,null,0,2062,0
1734422712637,238,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-34,text,true,,3441,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,238,0,0
1734422705776,952,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-29,,true,,4986,603,61,100,null,0,6200,714
1734422711976,952,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-29,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,952,0,714
1734422707680,229,02_03_Click on Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-25,,true,,3837,687,30,100,null,0,5040,0
1734422712719,229,02_03_Click on Product Id,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-25,text,true,,3837,687,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=AV-CB-01,229,0,0
1734422705891,921,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-48,,true,,4987,603,61,100,null,0,6169,690
1734422712060,921,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-48,text,true,,4987,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,920,0,690
1734422705847,958,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-10,,true,,4990,603,61,100,null,0,6213,719
1734422712060,958,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-10,text,true,,4990,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,958,0,719
1734422707852,222,02_04_Click on Item Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-30,,true,,3827,681,30,100,null,0,5057,0
1734422712909,222,02_04_Click on Item Id,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-30,text,true,,3827,681,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-18,222,0,0
1734422706102,918,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-9,,true,,4986,603,61,100,null,0,6231,690
1734422712333,918,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-9,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,918,0,690
1734422710959,229,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-33,,true,,3445,952,61,100,null,0,2081,0
1734422713040,229,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-33,text,true,,3445,952,61,100,https://petstore.octoperf.com/actions/Catalog.action,229,0,0
1734422706290,915,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-47,,true,,4986,603,61,100,null,0,6167,687
1734422712457,915,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-47,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,915,0,687
1734422694447,915,02_01_Open Url,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-14,,true,,4973,603,30,100,null,0,18026,687
